+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+---------------------------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Incremental result hashing time |
| incr_comp_serialize_result_cache ......................................  | 14.53ms   | 0.010           | 119.00ms | 1          | 0          | 0.00ns                          |
| is_unpin_raw ..........................................................  | 14.45ms   | 0.010           | 113.81ms | 11791      | 40386      | 2.19ms                          |
| mir_for_ctfe ..........................................................  | 14.42ms   | 0.010           | 168.42ms | 2806       | 42732      | 10.96ms                         |
| is_freeze_raw .........................................................  | 13.87ms   | 0.010           | 101.38ms | 9736       | 91486      | 1.68ms                          |
| predicates_of .........................................................  | 13.63ms   | 0.010           | 46.85ms  | 14536      | 1002638    | 2.63ms                          |
| metadata_decode_entry_fn_sig ..........................................  | 13.12ms   | 0.009           | 13.12ms  | 6665       | 0          | 0.00ns                          |
| metadata_decode_entry_type_of .........................................  | 13.09ms   | 0.009           | 13.09ms  | 15863      | 0          | 0.00ns                          |
| promoted_mir ..........................................................  | 12.82ms   | 0.009           | 67.68ms  | 1060       | 6016       | 3.55ms                          |
| live_symbols_and_ignored_derived_traits ...............................  | 12.79ms   | 0.009           | 14.38ms  | 1          | 25         | 142.10µs                        |
| mir_pass_inst_simplify_before_inline ..................................  | 12.32ms   | 0.009           | 12.74ms  | 8034       | 0          | 0.00ns                          |
| fn_sig ................................................................  | 12.13ms   | 0.009           | 36.39ms  | 8448       | 650183     | 5.15ms                          |
| explicit_predicates_of ................................................  | 11.96ms   | 0.009           | 18.15ms  | 14536      | 14561      | 4.70ms                          |
| mir_pass_dead_store_elimination_initial ...............................  | 11.57ms   | 0.008           | 11.57ms  | 1509       | 0          | 0.00ns                          |
| impl_parent ...........................................................  | 11.49ms   | 0.008           | 15.63ms  | 35697      | 0          | 5.25ms                          |
| early_lint_checks .....................................................  | 10.96ms   | 0.008           | 12.06ms  | 1          | 0          | 1.25µs                          |
| mir_pass_remove_noop_landing_pads .....................................  | 10.73ms   | 0.008           | 10.73ms  | 13492      | 0          | 0.00ns                          |
| mir_pass_promote_temps ................................................  | 10.68ms   | 0.008           | 17.92ms  | 3734       | 0          | 0.00ns                          |
| metadata_decode_entry_mir_for_ctfe ....................................  | 10.53ms   | 0.008           | 10.53ms  | 1535       | 0          | 0.00ns                          |
| mir_pass_destination_propagation ......................................  | 10.51ms   | 0.008           | 10.51ms  | 1509       | 0          | 0.00ns                          |
| implied_outlives_bounds ...............................................  | 10.50ms   | 0.008           | 10.94ms  | 4151       | 13496      | 1.23ms                          |
| mir_pass_simplify_cfg_initial .........................................  | 9.75ms    | 0.007           | 9.75ms   | 3734       | 0          | 0.00ns                          |
| compare_impl_item .....................................................  | 9.68ms    | 0.007           | 24.35ms  | 1049       | 402        | 135.22µs                        |
| metadata_decode_entry_attrs_for_def ...................................  | 9.11ms    | 0.007           | 9.11ms   | 2445       | 0          | 0.00ns                          |
| mir_pass_simplify_cfg_pre_optimizations ...............................  | 8.80ms    | 0.006           | 8.80ms   | 5458       | 0          | 0.00ns                          |
| method_autoderef_steps ................................................  | 8.73ms    | 0.006           | 14.50ms  | 1975       | 4240       | 780.89µs                        |
| def_kind ..............................................................  | 8.57ms    | 0.006           | 10.18ms  | 16404      | 7793945    | 4.78ms                          |
| mir_pass_simplify_cfg_post_analysis ...................................  | 8.55ms    | 0.006           | 8.55ms   | 5458       | 0          | 0.00ns                          |
| type_op_normalize_fn_sig ..............................................  | 8.52ms    | 0.006           | 21.38ms  | 2457       | 1278       | 1.09ms                          |
| drop_ast ..............................................................  | 8.22ms    | 0.006           | 8.22ms   | 1          | 0          | 0.00ns                          |
| metadata_decode_entry_implementations_of_trait ........................  | 8.20ms    | 0.006           | 8.20ms   | 65835      | 0          | 0.00ns                          |
| monomorphization_collector ............................................  | 8.17ms    | 0.006           | 3.98s    | 1          | 0          | 0.00ns                          |
| coroutine_hidden_types ................................................  | 7.94ms    | 0.006           | 11.02ms  | 272        | 5227       | 307.67µs                        |
| cgu_partitioning_internalize_symbols ..................................  | 7.94ms    | 0.006           | 7.94ms   | 1          | 0          | 0.00ns                          |
| mir_pass_jump_threading ...............................................  | 7.79ms    | 0.006           | 7.79ms   | 1509       | 0          | 0.00ns                          |
| opaque_types_defined_by ...............................................  | 7.72ms    | 0.006           | 9.31ms   | 3899       | 7378       | 775.78µs                        |
| mir_pass_simplify_cfg_make_shim .......................................  | 7.65ms    | 0.006           | 7.65ms   | 6525       | 0          | 0.00ns                          |
| resolve_bound_vars ....................................................  | 7.48ms    | 0.005           | 8.57ms   | 2407       | 1651       | 720.33µs                        |
| codegen_fn_attrs ......................................................  | 7.46ms    | 0.005           | 17.29ms  | 10510      | 2651145    | 1.96ms                          |
| effective_visibilities ................................................  | 7.25ms    | 0.005           | 7.25ms   | 1          | 283        | 59.17µs                         |
| collect_and_partition_mono_items ......................................  | 7.22ms    | 0.005           | 4.34s    | 1          | 1493       | 4.96ms                          |
| mir_pass_copy_prop ....................................................  | 7.12ms    | 0.005           | 7.12ms   | 1509       | 0          | 0.00ns                          |
| shallow_lint_levels_on ................................................  | 6.94ms    | 0.005           | 7.97ms   | 5882       | 80328      | 1.30ms                          |
| mir_pass_dead_store_elimination_final .................................  | 6.56ms    | 0.005           | 6.56ms   | 1509       | 0          | 0.00ns                          |
| has_ffi_unwind_calls ..................................................  | 6.54ms    | 0.005           | 768.26ms | 3899       | 7468       | 558.07µs                        |
| check_mod_unstable_api_usage ..........................................  | 6.25ms    | 0.004           | 11.31ms  | 26         | 0          | 3.25µs                          |
| vtable_allocation .....................................................  | 6.24ms    | 0.004           | 6.85ms   | 983        | 1744       | 891.95µs                        |
| erase_and_anonymize_regions_ty ........................................  | 6.14ms    | 0.004           | 8.10ms   | 19802      | 330351     | 0.00ns                          |
| mir_pass_post_analysis_normalize ......................................  | 6.06ms    | 0.004           | 9.04ms   | 5458       | 0          | 0.00ns                          |
| mir_pass_function_item_references .....................................  | 6.01ms    | 0.004           | 10.76ms  | 3734       | 0          | 0.00ns                          |
| mir_pass_simplify_locals_before_const_prop ............................  | 5.96ms    | 0.004           | 5.96ms   | 1509       | 0          | 0.00ns                          |
| mir_pass_simplify_locals_after_value_numbering ........................  | 5.91ms    | 0.004           | 5.91ms   | 1509       | 0          | 0.00ns                          |
| associated_items ......................................................  | 5.77ms    | 0.004           | 20.28ms  | 3147       | 61720      | 1.39ms                          |
| metadata_decode_entry_generics_of .....................................  | 5.77ms    | 0.004           | 5.77ms   | 12879      | 0          | 0.00ns                          |
| nested_bodies_within ..................................................  | 5.51ms    | 0.004           | 5.78ms   | 2766       | 2601       | 649.51µs                        |
| metadata_decode_entry_associated_item .................................  | 5.43ms    | 0.004           | 5.43ms   | 7256       | 0          | 0.00ns                          |
| inferred_outlives_of ..................................................  | 5.33ms    | 0.004           | 10.71ms  | 14519      | 178        | 2.65ms                          |
| typing_env_normalized_for_post_analysis ...............................  | 5.22ms    | 0.004           | 20.80ms  | 7316       | 155084     | 1.71ms                          |
| check_mod_attrs .......................................................  | 5.22ms    | 0.004           | 15.42ms  | 26         | 0          | 2.98µs                          |
| hir_crate_items .......................................................  | 5.11ms    | 0.004           | 105.13ms | 1          | 33         | 71.63µs                         |
| impl_super_outlives ...................................................  | 5.05ms    | 0.004           | 5.87ms   | 3608       | 491970     | 761.37µs                        |
| link_binary ...........................................................  | 5.04ms    | 0.004           | 1.83s    | 1          | 0          | 0.00ns                          |
| metadata_decode_entry_def_span ........................................  | 4.91ms    | 0.004           | 4.91ms   | 10737      | 0          | 0.00ns                          |
| mir_pass_simplify_cfg_promote_consts ..................................  | 4.84ms    | 0.003           | 4.84ms   | 3734       | 0          | 0.00ns                          |
| associated_item .......................................................  | 4.83ms    | 0.003           | 11.54ms  | 8719       | 396591     | 2.21ms                          |
| check_tail_calls ......................................................  | 4.80ms    | 0.003           | 6.23ms   | 3899       | 0          | 629.85µs                        |
| MIR_borrow_checking ...................................................  | 4.71ms    | 0.003           | 1.35s    | 1          | 0          | 0.00ns                          |
| mir_pass_elaborate_box_derefs .........................................  | 4.56ms    | 0.003           | 4.58ms   | 5458       | 0          | 0.00ns                          |
| cross_crate_inlinable .................................................  | 4.33ms    | 0.003           | 5.92ms   | 8878       | 381389     | 1.33ms                          |
| metadata_decode_entry_adt_def .........................................  | 4.31ms    | 0.003           | 10.02ms  | 1535       | 0          | 0.00ns                          |
| mir_pass_simplify_cfg_final ...........................................  | 4.27ms    | 0.003           | 4.27ms   | 1509       | 0          | 0.00ns                          |
| metadata_decode_entry_explicit_predicates_of ..........................  | 4.26ms    | 0.003           | 4.26ms   | 6623       | 0          | 0.00ns                          |
| hir_module_items ......................................................  | 4.14ms    | 0.003           | 4.14ms   | 26         | 130        | 79.75µs                         |
| metadata_decode_entry_module_children .................................  | 4.03ms    | 0.003           | 4.03ms   | 301        | 0          | 0.00ns                          |
| parse_crate ...........................................................  | 4.01ms    | 0.003           | 4.01ms   | 1          | 0          | 0.00ns                          |
| reachable_set .........................................................  | 3.99ms    | 0.003           | 4.95ms   | 1          | 136        | 35.66µs                         |
| mir_pass_add_call_guards ..............................................  | 3.99ms    | 0.003           | 3.99ms   | 14412      | 0          | 0.00ns                          |
| upstream_drop_glue_for ................................................  | 3.98ms    | 0.003           | 7.59ms   | 7479       | 54327      | 1.33ms                          |
| mir_pass_subtyper .....................................................  | 3.96ms    | 0.003           | 3.97ms   | 5458       | 0          | 0.00ns                          |
| instantiate_and_check_impossible_predicates ...........................  | 3.85ms    | 0.003           | 4.59ms   | 600        | 48         | 73.03µs                         |
| source_span ...........................................................  | 3.82ms    | 0.003           | 4.23ms   | 6054       | 798580     | 2.97ms                          |
| is_reachable_non_generic ..............................................  | 3.73ms    | 0.003           | 10.41ms  | 9666       | 609632     | 1.30ms                          |
| resolve_check_unused ..................................................  | 3.70ms    | 0.003           | 3.70ms   | 1          | 0          | 0.00ns                          |
| mir_pass_inst_simplify_after_simplifycfg ..............................  | 3.53ms    | 0.003           | 3.53ms   | 1509       | 0          | 0.00ns                          |
| copy_all_cgu_workproducts_to_incr_comp_cache_dir ......................  | 3.38ms    | 0.002           | 3.38ms   | 1          | 0          | 0.00ns                          |
| codegen_unit ..........................................................  | 3.37ms    | 0.002           | 3.38ms   | 256        | 512        | 3.32ms                          |
| mir_pass_mentioned_items ..............................................  | 3.36ms    | 0.002           | 3.36ms   | 7445       | 0          | 0.00ns                          |
| mir_pass_simplify_cfg_after_unreachable_enum_branching ................  | 3.27ms    | 0.002           | 3.27ms   | 1509       | 0          | 0.00ns                          |
| join_worker_thread ....................................................  | 3.19ms    | 0.002           | 3.19ms   | 1          | 0          | 0.00ns                          |
| check_mod_deathness ...................................................  | 3.10ms    | 0.002           | 17.53ms  | 26         | 0          | 3.44µs                          |
| assumed_wf_types ......................................................  | 3.10ms    | 0.002           | 3.37ms   | 4111       | 3493       | 1.65ms                          |
| trivial_const .........................................................  | 3.07ms    | 0.002           | 27.73ms  | 5681       | 36424      | 1.18ms                          |
| defaultness ...........................................................  | 3.03ms    | 0.002           | 4.33ms   | 7195       | 583127     | 1.08ms                          |
| local_def_id_to_hir_id ................................................  | 3.03ms    | 0.002           | 3.52ms   | 8681       | 233902     | 1.48ms                          |
| upvars_mentioned ......................................................  | 2.97ms    | 0.002           | 3.21ms   | 2207       | 12923      | 687.64µs                        |
| mir_pass_derefer ......................................................  | 2.89ms    | 0.002           | 2.89ms   | 5458       | 0          | 0.00ns                          |
| mir_pass_remove_zsts ..................................................  | 2.83ms    | 0.002           | 2.83ms   | 1509       | 0          | 0.00ns                          |
| mir_pass_check_const_item_mutation ....................................  | 2.74ms    | 0.002           | 2.74ms   | 3734       | 0          | 0.00ns                          |
| AST_validation ........................................................  | 2.72ms    | 0.002           | 2.72ms   | 1          | 0          | 0.00ns                          |
| mir_pass_simplify_locals_final ........................................  | 2.71ms    | 0.002           | 2.71ms   | 1509       | 0          | 0.00ns                          |
| lookup_deprecation_entry ..............................................  | 2.71ms    | 0.002           | 4.47ms   | 4381       | 47235      | 805.76µs                        |
| resolve_postprocess ...................................................  | 2.67ms    | 0.002           | 2.67ms   | 1          | 0          | 0.00ns                          |
| mir_pass_check_inline_always_target_feature ...........................  | 2.66ms    | 0.002           | 3.28ms   | 3734       | 0          | 0.00ns                          |
| mir_pass_scalar_replacement_of_aggregates .............................  | 2.64ms    | 0.002           | 2.64ms   | 1509       | 0          | 0.00ns                          |
| mir_pass_add_moves_for_packed_drops ...................................  | 2.60ms    | 0.002           | 2.64ms   | 11983      | 0          | 0.00ns                          |
| finalize_macro_resolutions ............................................  | 2.57ms    | 0.002           | 2.66ms   | 1          | 0          | 0.00ns                          |
| mir_pass_cleanup_post_borrowck ........................................  | 2.53ms    | 0.002           | 2.53ms   | 5458       | 0          | 0.00ns                          |
| attrs_for_def .........................................................  | 2.50ms    | 0.002           | 11.74ms  | 2445       | 116024     | 1.61ms                          |
| mir_pass_check_alignment ..............................................  | 2.49ms    | 0.002           | 2.49ms   | 1509       | 0          | 0.00ns                          |
| intrinsic_raw .........................................................  | 2.43ms    | 0.002           | 3.22ms   | 5475       | 338998     | 1.09ms                          |
| hir_owner_parent ......................................................  | 2.42ms    | 0.002           | 2.87ms   | 5881       | 56432      | 956.42µs                        |
| mir_pass_lower_intrinsics .............................................  | 2.41ms    | 0.002           | 2.41ms   | 5458       | 0          | 0.00ns                          |
| coroutine_kind ........................................................  | 2.39ms    | 0.002           | 2.86ms   | 4795       | 206072     | 925.43µs                        |
| mir_pass_check_call_recursion .........................................  | 2.39ms    | 0.002           | 15.09ms  | 3734       | 0          | 0.00ns                          |
