+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+---------------------------------+
| Item                                                                     | Self time | % of total time | Time     | Item count | Cache hits | Incremental result hashing time |
| resolve_crate .........................................................  | 4.98µs    | 0.000           | 54.53ms  | 1          | 0          | 0.00ns                          |
| cgu_partitioning ......................................................  | 4.87µs    | 0.000           | 120.72ms | 1          | 0          | 0.00ns                          |
| has_structural_eq_impl ................................................  | 4.66µs    | 0.000           | 26.45µs  | 2          | 8          | 250.00ns                        |
| stability_implications ................................................  | 4.60µs    | 0.000           | 4.66µs   | 1          | 0          | 3.86µs                          |
| coerce_unsized_info ...................................................  | 4.20µs    | 0.000           | 14.36µs  | 3          | 640        | 941.00ns                        |
| incr_comp_load_dep_graph ..............................................  | 4.02µs    | 0.000           | 4.02µs   | 1          | 0          | 0.00ns                          |
| metadata_decode_entry_const_param_default .............................  | 3.81µs    | 0.000           | 3.81µs   | 4          | 0          | 0.00ns                          |
| link ..................................................................  | 3.36µs    | 0.000           | 1.83s    | 1          | 0          | 0.00ns                          |
| metadata_decode_entry_type_alias_is_lazy ..............................  | 2.95µs    | 0.000           | 2.95µs   | 9          | 0          | 0.00ns                          |
| check_expectations ....................................................  | 2.41µs    | 0.000           | 153.96µs | 1          | 0          | 120.00ns                        |
| looking_for_entry_point ...............................................  | 2.41µs    | 0.000           | 3.15ms   | 1          | 0          | 0.00ns                          |
| extern_crate ..........................................................  | 2.09µs    | 0.000           | 2.67µs   | 3          | 0          | 1.13µs                          |
| lint_checking .........................................................  | 1.81µs    | 0.000           | 34.16ms  | 1          | 0          | 0.00ns                          |
| metadata_decode_entry_mir_const_qualif ................................  | 1.72µs    | 0.000           | 1.72µs   | 6          | 0          | 0.00ns                          |
| limits ................................................................  | 1.68µs    | 0.000           | 1.74µs   | 1          | 3169936    | 290.00ns                        |
| drop_dep_graph ........................................................  | 1.68µs    | 0.000           | 1.68µs   | 1          | 0          | 0.00ns                          |
| lib_features ..........................................................  | 1.54µs    | 0.000           | 1.62µs   | 1          | 0          | 150.00ns                        |
| global_backend_features ...............................................  | 1.36µs    | 0.000           | 1.52µs   | 1          | 101150     | 411.00ns                        |
| looking_for_derive_registrar ..........................................  | 1.34µs    | 0.000           | 222.14µs | 1          | 0          | 0.00ns                          |
| metadata_decode_entry_specialization_enabled_in .......................  | 1.28µs    | 0.000           | 1.28µs   | 9          | 0          | 0.00ns                          |
| check_lint_expectations ...............................................  | 1.27µs    | 0.000           | 155.23µs | 1          | 0          | 0.00ns                          |
| metadata_decode_entry_lookup_default_body_stability ...................  | 1.16µs    | 0.000           | 1.16µs   | 15         | 0          | 0.00ns                          |
| allocator_kind ........................................................  | 901.00ns  | 0.000           | 941.00ns | 1          | 1          | 461.00ns                        |
| clashing_extern_declarations ..........................................  | 800.00ns  | 0.000           | 841.00ns | 1          | 0          | 120.00ns                        |
| assert_dep_graph ......................................................  | 742.00ns  | 0.000           | 742.00ns | 1          | 0          | 0.00ns                          |
| output_filenames ......................................................  | 741.00ns  | 0.000           | 0.00ns   | 0          | 775        | 741.00ns                        |
| alloc_error_handler_kind ..............................................  | 711.00ns  | 0.000           | 751.00ns | 1          | 0          | 360.00ns                        |
| incr_comp_query_cache_promotion .......................................  | 631.00ns  | 0.000           | 631.00ns | 1          | 0          | 0.00ns                          |
| crate_inherent_impls_validity_check ...................................  | 621.00ns  | 0.000           | 661.00ns | 1          | 0          | 131.00ns                        |
| maybe_create_a_macro_crate ............................................  | 581.00ns  | 0.000           | 581.00ns | 1          | 0          | 0.00ns                          |
| backend_optimization_level ............................................  | 491.00ns  | 0.000           | 551.00ns | 1          | 256        | 280.00ns                        |
| check_unused_macros ...................................................  | 460.00ns  | 0.000           | 460.00ns | 1          | 0          | 0.00ns                          |
| crate_lints ...........................................................  | 451.00ns  | 0.000           | 451.00ns | 1          | 0          | 0.00ns                          |
| metadata_decode_entry_extern_crate ....................................  | 431.00ns  | 0.000           | 431.00ns | 3          | 0          | 0.00ns                          |
| metadata_decode_entry_thir_abstract_const .............................  | 431.00ns  | 0.000           | 431.00ns | 1          | 0          | 0.00ns                          |
| maybe_building_test_harness ...........................................  | 281.00ns  | 0.000           | 281.00ns | 1          | 0          | 0.00ns                          |
| layout_testing ........................................................  | 280.00ns  | 0.000           | 280.00ns | 1          | 0          | 0.00ns                          |
| resolve_main ..........................................................  | 220.00ns  | 0.000           | 220.00ns | 1          | 0          | 0.00ns                          |
| features_query ........................................................  | 190.00ns  | 0.000           | 0.00ns   | 0          | 673794     | 190.00ns                        |
| abi_testing ...........................................................  | 181.00ns  | 0.000           | 181.00ns | 1          | 0          | 0.00ns                          |
| resolve_report_errors .................................................  | 140.00ns  | 0.000           | 140.00ns | 1          | 0          | 0.00ns                          |
| crate_for_resolver ....................................................  | 130.00ns  | 0.000           | 0.00ns   | 0          | 2          | 130.00ns                        |
| check_dirty_clean .....................................................  | 50.00ns   | 0.000           | 50.00ns  | 1          | 0          | 0.00ns                          |
+--------------------------------------------------------------------------+-----------+-----------------+----------+------------+------------+---------------------------------+
Total cpu time: 138.844970589s
+----------------------------+-----------------+
| Item                       | Artifact Size   |
+----------------------------+-----------------+
| cgu_instructions           | 1784340 bytes   |
| codegen_unit_size_estimate | 2699040 bytes   |
| dep_graph                  | 99419833 bytes  |
| linked_artifact            | 90870392 bytes  |
| object_file                | 103963184 bytes |
| query_cache                | 55519462 bytes  |
| work_product_index         | 19515 bytes     |
+----------------------------+-----------------+
